2024-08-12 12:07:27 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435647628, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280606144, 'o': '2543.34', 'c': '2542.10', 'h': '2543.35', 'l': '2541.93', 'v': '152.670', 'n': 471, 'x': False, 'q': '388167.67743', 'V': '61.969', 'Q': '157549.63350', 'B': '0'}}
2024-08-12 12:07:28 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435648061, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280625228, 'o': '2543.34', 'c': '2542.29', 'h': '2543.35', 'l': '2541.93', 'v': '160.606', 'n': 487, 'x': False, 'q': '408342.10754', 'V': '66.812', 'Q': '169861.37644', 'B': '0'}}
2024-08-12 12:07:29 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435649773, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280685663, 'o': '2543.34', 'c': '2542.30', 'h': '2543.35', 'l': '2541.93', 'v': '162.916', 'n': 488, 'x': False, 'q': '414214.82054', 'V': '69.122', 'Q': '175734.08944', 'B': '0'}}
2024-08-12 12:07:30 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435650660, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280719577, 'o': '2543.34', 'c': '2542.29', 'h': '2543.35', 'l': '2541.93', 'v': '165.340', 'n': 492, 'x': False, 'q': '420377.34064', 'V': '70.036', 'Q': '178057.75164', 'B': '0'}}
2024-08-12 12:07:30 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435650910, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280726550, 'o': '2543.34', 'c': '2542.29', 'h': '2543.35', 'l': '2541.93', 'v': '166.048', 'n': 493, 'x': False, 'q': '422177.28196', 'V': '70.036', 'Q': '178057.75164', 'B': '0'}}
2024-08-12 12:07:31 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435651584, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280760510, 'o': '2543.34', 'c': '2542.30', 'h': '2543.35', 'l': '2541.93', 'v': '166.489', 'n': 495, 'x': False, 'q': '423298.43578', 'V': '70.429', 'Q': '179056.87554', 'B': '0'}}
2024-08-12 12:07:31 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435651865, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280780262, 'o': '2543.34', 'c': '2542.43', 'h': '2543.35', 'l': '2541.93', 'v': '168.586', 'n': 530, 'x': False, 'q': '428629.69916', 'V': '72.526', 'Q': '184388.13892', 'B': '0'}}
2024-08-12 12:07:32 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435652545, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280853239, 'o': '2543.34', 'c': '2542.67', 'h': '2543.35', 'l': '2541.93', 'v': '169.482', 'n': 546, 'x': False, 'q': '430907.88634', 'V': '72.685', 'Q': '184792.39715', 'B': '0'}}
2024-08-12 12:07:32 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435652822, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280867381, 'o': '2543.34', 'c': '2542.52', 'h': '2543.35', 'l': '2541.93', 'v': '182.064', 'n': 570, 'x': False, 'q': '462899.69419', 'V': '72.736', 'Q': '184922.06918', 'B': '0'}}
2024-08-12 12:07:33 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435653161, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280883418, 'o': '2543.34', 'c': '2542.35', 'h': '2543.35', 'l': '2541.93', 'v': '182.437', 'n': 599, 'x': False, 'q': '463848.02134', 'V': '72.745', 'Q': '184944.95033', 'B': '0'}}
2024-08-12 12:07:33 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435653782, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280906993, 'o': '2543.34', 'c': '2542.50', 'h': '2543.35', 'l': '2541.93', 'v': '182.579', 'n': 612, 'x': False, 'q': '464209.04449', 'V': '72.887', 'Q': '185305.97348', 'B': '0'}}
2024-08-12 12:07:34 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435654032, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280914996, 'o': '2543.34', 'c': '2542.50', 'h': '2543.35', 'l': '2541.93', 'v': '183.598', 'n': 615, 'x': False, 'q': '466799.84638', 'V': '73.345', 'Q': '186470.43848', 'B': '0'}}
2024-08-12 12:07:34 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435654516, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280928617, 'o': '2543.34', 'c': '2542.49', 'h': '2543.35', 'l': '2541.93', 'v': '184.006', 'n': 617, 'x': False, 'q': '467837.18538', 'V': '73.653', 'Q': '187253.52848', 'B': '0'}}
2024-08-12 12:07:35 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435655180, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280947771, 'o': '2543.34', 'c': '2542.33', 'h': '2543.35', 'l': '2541.93', 'v': '187.703', 'n': 628, 'x': False, 'q': '477236.37875', 'V': '76.104', 'Q': '193484.77931', 'B': '0'}}
2024-08-12 12:07:36 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435656239, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280975321, 'o': '2543.34', 'c': '2542.33', 'h': '2543.35', 'l': '2541.93', 'v': '191.343', 'n': 633, 'x': False, 'q': '486490.45798', 'V': '79.547', 'Q': '202238.02150', 'B': '0'}}
2024-08-12 12:07:36 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435656880, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141280989956, 'o': '2543.34', 'c': '2542.33', 'h': '2543.35', 'l': '2541.93', 'v': '192.523', 'n': 634, 'x': False, 'q': '489490.40738', 'V': '80.727', 'Q': '205237.97090', 'B': '0'}}
2024-08-12 12:07:37 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435657484, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281004683, 'o': '2543.34', 'c': '2542.32', 'h': '2543.35', 'l': '2541.93', 'v': '192.817', 'n': 635, 'x': False, 'q': '490237.84946', 'V': '80.727', 'Q': '205237.97090', 'B': '0'}}
2024-08-12 12:07:37 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435657753, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281022995, 'o': '2543.34', 'c': '2542.21', 'h': '2543.35', 'l': '2541.93', 'v': '194.746', 'n': 662, 'x': False, 'q': '495141.80951', 'V': '80.737', 'Q': '205263.39190', 'B': '0'}}
2024-08-12 12:07:38 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435658610, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281050503, 'o': '2543.34', 'c': '2542.22', 'h': '2543.35', 'l': '2541.93', 'v': '196.091', 'n': 665, 'x': False, 'q': '498561.09326', 'V': '81.867', 'Q': '208136.10050', 'B': '0'}}
